feature_set,set,average_precision,accuracy
ecfp_skfp_fingerprint,train,0.9578914830898648,0.9045891783567134
ecfp_skfp_fingerprint,valid,0.7295291577289366,0.5789515870471305
layered_skfp_fingerprint,train,0.9881116274004244,0.9847695390781563
layered_skfp_fingerprint,valid,0.8452324454969836,0.7684353959602437
lingo_skfp_fingerprint,train,0.9585243490552617,0.9195390781563126
lingo_skfp_fingerprint,valid,0.7282099994487135,0.5982686758576466
mqns_skfp_fingerprint,train,0.9583536463655477,0.9400801603206412
mqns_skfp_fingerprint,valid,0.7857959987219387,0.6848348829753126
pattern_skfp_fingerprint,train,0.9634241337270566,0.9494589178356714
pattern_skfp_fingerprint,valid,0.7719403393402174,0.6569413273485092
secfp_skfp_fingerprint,train,0.9563185904255673,0.9015831663326653
secfp_skfp_fingerprint,valid,0.7646432721009635,0.6195896120551458
morgan_fingerprint,train,0.9581833101213332,0.9044689378757516
morgan_fingerprint,valid,0.7290059031080235,0.5784706636742546
rdkit_fingerprint,train,0.7301400156291313,0.6717234468937876
rdkit_fingerprint,valid,0.5535210732512319,0.4226514908624559
atom_pair_fingerprint,train,0.9943541063924893,0.9910420841683367
atom_pair_fingerprint,valid,0.7306719435813191,0.5679705033664636
topological_torsion_fingerprint,train,0.9325524149232861,0.8850100200400801
topological_torsion_fingerprint,valid,0.7451600185968746,0.6230362295607567
avalon_fingerprint,train,0.9903772231700468,0.9884168336673347
avalon_fingerprint,valid,0.8456178325575568,0.7661109329913434
ecfp_skfp_fingerprint,train,0.9571794102257078,0.9029258517034068
ecfp_skfp_fingerprint,valid,0.734456862521219,0.5872875921769798
layered_skfp_fingerprint,train,0.9882201636481202,0.9849098196392786
layered_skfp_fingerprint,valid,0.8478791731736486,0.7690766271240782
lingo_skfp_fingerprint,train,0.9577978313682969,0.917935871743487
lingo_skfp_fingerprint,valid,0.7367881636058479,0.6093299134337928
mqns_skfp_fingerprint,train,0.9588593689607914,0.941623246492986
mqns_skfp_fingerprint,valid,0.7892387394774337,0.6903655017633857
pattern_skfp_fingerprint,train,0.9636545045201185,0.9496993987975952
pattern_skfp_fingerprint,valid,0.7729990254764025,0.6627124078230202
secfp_skfp_fingerprint,train,0.9563183353132927,0.9014028056112224
secfp_skfp_fingerprint,valid,0.7689079602010386,0.626643154857326
morgan_fingerprint,train,0.958253404939439,0.9051302605210421
morgan_fingerprint,valid,0.7360113323379347,0.5885700545046489
rdkit_fingerprint,train,0.7339519255040614,0.6760320641282566
rdkit_fingerprint,valid,0.5597031431079026,0.43098749599230524
atom_pair_fingerprint,train,0.9941045327423096,0.9908216432865732
atom_pair_fingerprint,valid,0.7329322069202802,0.5684514267393396
topological_torsion_fingerprint,train,0.9329983882194786,0.8850300601202404
topological_torsion_fingerprint,valid,0.7509727620350012,0.6276851554985572
avalon_fingerprint,train,0.9899915075830255,0.9877354709418837
avalon_fingerprint,valid,0.8483512669679569,0.7689964732285989
ecfp_skfp_fingerprint,train,0.9572732652200423,0.9035871743486974
ecfp_skfp_fingerprint,valid,0.7355030070384959,0.5864058993267073
layered_skfp_fingerprint,train,0.9881338977895707,0.9851703406813628
layered_skfp_fingerprint,valid,0.8440497749195639,0.7676338570054505
lingo_skfp_fingerprint,train,0.9574798377995,0.9170541082164329
lingo_skfp_fingerprint,valid,0.7349303804100831,0.6055626803462648
mqns_skfp_fingerprint,train,0.9583643135933363,0.9412024048096193
mqns_skfp_fingerprint,valid,0.7942325637335874,0.6978999679384418
pattern_skfp_fingerprint,train,0.9630298601329367,0.9485771543086172
pattern_skfp_fingerprint,valid,0.7761140953622815,0.6665597948060276
secfp_skfp_fingerprint,train,0.9557742027978272,0.9007214428857715
secfp_skfp_fingerprint,valid,0.7693850867926847,0.6256011542160949
morgan_fingerprint,train,0.9566424973519997,0.9015831663326653
morgan_fingerprint,valid,0.7353687909335271,0.5864860532221866
rdkit_fingerprint,train,0.7318678023977533,0.6738276553106213
rdkit_fingerprint,valid,0.5601693195736224,0.4275408784866945
atom_pair_fingerprint,train,0.9940448866303363,0.9908016032064129
atom_pair_fingerprint,valid,0.7304922613745434,0.5659666559794806
topological_torsion_fingerprint,train,0.9336839392629673,0.8865531062124249
topological_torsion_fingerprint,valid,0.7469458385029195,0.625120230843219
avalon_fingerprint,train,0.9899585825615357,0.9875350701402805
avalon_fingerprint,valid,0.8477000569861182,0.7677140109009298
ecfp_skfp_fingerprint,train,0.9582832499413848,0.9048897795591182
ecfp_skfp_fingerprint,valid,0.7299297057234905,0.5809554344341135
layered_skfp_fingerprint,train,0.9883697348859551,0.9850300601202405
layered_skfp_fingerprint,valid,0.8423244774926716,0.7678743186918884
lingo_skfp_fingerprint,train,0.9571088002030029,0.9167735470941883
lingo_skfp_fingerprint,valid,0.7332436060012897,0.6039596024366785
mqns_skfp_fingerprint,train,0.9593102430481919,0.9425250501002004
mqns_skfp_fingerprint,valid,0.7828865647055996,0.6886021160628406
pattern_skfp_fingerprint,train,0.9633176461191285,0.9493587174348698
pattern_skfp_fingerprint,valid,0.7703381985577445,0.6607887143315165
secfp_skfp_fingerprint,train,0.9548106507046006,0.8986973947895791
secfp_skfp_fingerprint,valid,0.7626543831596613,0.621112536069253
morgan_fingerprint,train,0.957095699211632,0.9022845691382766
morgan_fingerprint,valid,0.7299032372020742,0.5803142032702789
rdkit_fingerprint,train,0.7322903759000017,0.6745490981963927
rdkit_fingerprint,valid,0.5558819045514345,0.42705995511381856
atom_pair_fingerprint,train,0.9941215230931438,0.9906012024048096
atom_pair_fingerprint,valid,0.7298456351956271,0.5687720423212568
topological_torsion_fingerprint,train,0.9341065110697168,0.8874148296593186
topological_torsion_fingerprint,valid,0.7464351903433413,0.6274446938121193
avalon_fingerprint,train,0.9904970691498692,0.9881963927855711
avalon_fingerprint,valid,0.8439785103925324,0.7655498557229882
ecfp_skfp_fingerprint,train,0.9575372544588135,0.90436873747495
ecfp_skfp_fingerprint,valid,0.7368728640118904,0.5913754408464251
layered_skfp_fingerprint,train,0.9879160422748332,0.9844689378757515
layered_skfp_fingerprint,valid,0.8464766485411439,0.7705995511381853
lingo_skfp_fingerprint,train,0.9563049056308727,0.9141282565130261
lingo_skfp_fingerprint,valid,0.7354234745672332,0.6069252965694133
mqns_skfp_fingerprint,train,0.9588327841334116,0.941563126252505
mqns_skfp_fingerprint,valid,0.7865710380013687,0.6909265790317409
pattern_skfp_fingerprint,train,0.9638165833412934,0.9500801603206412
pattern_skfp_fingerprint,valid,0.7699385653273558,0.6585444052580955
secfp_skfp_fingerprint,train,0.9548999646997354,0.8991382765531062
secfp_skfp_fingerprint,valid,0.7677512351799064,0.6276050016030779
morgan_fingerprint,train,0.9580081679358393,0.9057114228456914
morgan_fingerprint,valid,0.7355494636077192,0.5896922090413594
rdkit_fingerprint,train,0.7292746398983586,0.670120240480962
rdkit_fingerprint,valid,0.562745335931413,0.4340333440205194
atom_pair_fingerprint,train,0.9938393374645826,0.9902404809619239
atom_pair_fingerprint,valid,0.7336664915871409,0.5735812760500161
topological_torsion_fingerprint,train,0.9329815241713234,0.884749498997996
topological_torsion_fingerprint,valid,0.7468373175176186,0.6274446938121193
avalon_fingerprint,train,0.9898670359461423,0.9876753507014028
avalon_fingerprint,valid,0.8502998340753246,0.7718018595703752
ecfp_skfp_fingerprint,train,0.9584340163295222,0.9045090180360722
ecfp_skfp_fingerprint,valid,0.732104189064634,0.5817569733889068
layered_skfp_fingerprint,train,0.9886539044629217,0.9851503006012025
layered_skfp_fingerprint,valid,0.8422152494626846,0.7665918563642193
lingo_skfp_fingerprint,train,0.959720168930823,0.9219839679358718
lingo_skfp_fingerprint,valid,0.7318942328454769,0.6042000641231163
mqns_skfp_fingerprint,train,0.9597943975460153,0.9428256513026052
