feature_set,set,average_precision,accuracy
autocorr_fingerprint,train,0.9957993596040432,0.994188376753507
autocorr_fingerprint,valid,0.7036629114545926,0.5426418723949984
extended_connectivity_fingerprint,train,0.9055505471206556,0.808376753507014
extended_connectivity_fingerprint,valid,0.7327989666347883,0.582077588970824
extended_reduced_graph_fingerprint,train,0.9354397008119474,0.8774749498997996
extended_reduced_graph_fingerprint,valid,0.5064340625420092,0.3357646681628727
estate_fingerprint,train,0.8459436106055649,0.7126452905811623
estate_fingerprint,valid,0.6603962665156343,0.4903815325424815
functional_groups_fingerprint,train,0.6379362789893636,0.5022645290581162
functional_groups_fingerprint,valid,0.5560533493021328,0.4095864058993267
ghose_crippen_fingerprint,train,0.8039577460831923,0.6990581162324649
ghose_crippen_fingerprint,valid,0.6756049585707135,0.534546328951587
klekota_roth_fingerprint,train,0.9428471955229322,0.8881362725450902
klekota_roth_fingerprint,valid,0.7699932322691937,0.6344982366142995
laggner_fingerprint,train,0.85960929551764,0.7975350701402806
laggner_fingerprint,valid,0.7101575516951694,0.6054825264507855
layered_fingerprint,train,0.98810373281985,0.9841482965931864
layered_fingerprint,valid,0.8531496705367134,0.7815806348188522
lingo_fingerprint,train,0.9407243888066104,0.879939879759519
lingo_fingerprint,valid,0.7191493479784228,0.581837127284386
map_fingerprint,train,0.6728313229858954,0.5597595190380762
map_fingerprint,valid,0.3230242224584982,0.1992625841615902
mhfp_fingerprint,train,0.9968930128841929,0.9960721442885772
mhfp_fingerprint,valid,0.4685698674456279,0.337848669445335
mqns_fingerprint,train,0.9583632008577112,0.9403607214428856
mqns_fingerprint,valid,0.7871367537579151,0.6871593459442129
pattern_fingerprint,train,0.991778650673402,0.989058116232465
pattern_fingerprint,valid,0.825676545731991,0.7284386021160628
pubchem_fingerprint,train,0.98471678870375,0.9781963927855712
pubchem_fingerprint,valid,0.8315967233790015,0.7372555306187881
smiles_extended_connectivity_fingerprint,train,0.9069604664417062,0.8140280561122244
smiles_extended_connectivity_fingerprint,valid,0.7592545857884896,0.6074062199422892
vsa_fingerprint,train,0.990448731216942,0.9823246492985972
vsa_fingerprint,valid,0.7677169808476753,0.6204713049054184
morgan_fingerprint,train,0.9048064187288718,0.8072945891783567
morgan_fingerprint,valid,0.7341969190344904,0.5835203590894518
rdkit_fingerprint,train,0.9551694830570218,0.9358517034068136
rdkit_fingerprint,valid,0.724623400538999,0.5928182109650529
atom_pair_fingerprint,train,0.9934876790863392,0.9884769539078156
atom_pair_fingerprint,valid,0.7432284666638491,0.5839211285668483
topological_torsion_fingerprint,train,0.9061615334847928,0.8327454909819639
topological_torsion_fingerprint,valid,0.7320550810085475,0.5961846745751843
avalon_fingerprint,train,0.990174336074326,0.9875951903807616
avalon_fingerprint,valid,0.8496522742455768,0.7703590894517474
map4_fingerprint,train,0.9079431380820456,0.8865931863727455
map4_fingerprint,valid,0.4110786332222368,0.2515229240141071
maccs_fingerprint,train,0.9604473436990008,0.9402004008016032
maccs_fingerprint,valid,0.7727630657253528,0.6540557871112536
descriptors,train,0.9957873754252216,0.994809619238477
descriptors,valid,0.740475557743978,0.6304103879448542
autocorr_fingerprint,train,0.9956009116594096,0.9940480961923848
autocorr_fingerprint,valid,0.7083388052082084,0.5465694132734851
extended_connectivity_fingerprint,train,0.9047632224688582,0.8067334669338677
