feature_set,set,average_precision,accuracy
ecfp_skfp_fingerprint,train,0.8421511040018583,0.7161122244488978
ecfp_skfp_fingerprint,valid,0.7143887214380117,0.5585123436999038
layered_skfp_fingerprint,train,0.9874310318211516,0.9822044088176353
layered_skfp_fingerprint,valid,0.8572564427901875,0.7841455594741904
lingo_skfp_fingerprint,train,0.9124118192702427,0.8269739478957916
lingo_skfp_fingerprint,valid,0.7052050807050654,0.5608368066688041
mqns_skfp_fingerprint,train,0.9584358632621203,0.9408216432865731
mqns_skfp_fingerprint,valid,0.7874682805964042,0.6870791920487336
pattern_skfp_fingerprint,train,0.9926637071508698,0.9902404809619239
pattern_skfp_fingerprint,valid,0.83618257603015,0.7447098428983648
secfp_skfp_fingerprint,train,0.8475268503484185,0.7209619238476954
secfp_skfp_fingerprint,valid,0.734244792336648,0.5719781981404296
morgan_fingerprint,train,0.8417258183033781,0.7155310621242486
morgan_fingerprint,valid,0.7130528879642057,0.5550657261942931
rdkit_fingerprint,train,0.9927064514361702,0.9907815631262525
rdkit_fingerprint,valid,0.7872979943887296,0.6740942609810837
atom_pair_fingerprint,train,0.9923903957427122,0.9852304609218437
atom_pair_fingerprint,valid,0.7440937614658157,0.5807951266431548
topological_torsion_fingerprint,train,0.8584000483178572,0.7538276553106212
topological_torsion_fingerprint,valid,0.7025628938245392,0.5483327989740301
avalon_fingerprint,train,0.9894871678105913,0.9859118236472946
avalon_fingerprint,valid,0.8495377308135039,0.7676338570054505
ecfp_skfp_fingerprint,train,0.8392978574357469,0.7130661322645291
ecfp_skfp_fingerprint,valid,0.7153486603562902,0.5608368066688041
layered_skfp_fingerprint,train,0.9873571377318925,0.982124248496994
layered_skfp_fingerprint,valid,0.8576873230501746,0.7831035588329592
lingo_skfp_fingerprint,train,0.91029605562832,0.822124248496994
lingo_skfp_fingerprint,valid,0.7103947558354552,0.5642834241744149
mqns_skfp_fingerprint,train,0.9587970202997995,0.9417434869739479
mqns_skfp_fingerprint,valid,0.7901866577230635,0.6923693491503687
pattern_skfp_fingerprint,train,0.9925719713537662,0.9903206412825651
pattern_skfp_fingerprint,valid,0.8392084151308818,0.7472747675537031
secfp_skfp_fingerprint,train,0.8478382897420036,0.7219438877755511
secfp_skfp_fingerprint,valid,0.7379204729992455,0.5808752805386341
morgan_fingerprint,train,0.8433903363794959,0.7178557114228457
morgan_fingerprint,valid,0.7180978321343554,0.5615581917281179
rdkit_fingerprint,train,0.9925860142119501,0.9906813627254509
rdkit_fingerprint,valid,0.7923883158553012,0.6813882654697019
atom_pair_fingerprint,train,0.9918207326735855,0.9840080160320641
atom_pair_fingerprint,valid,0.7475027075730073,0.5856845142673934
topological_torsion_fingerprint,train,0.8588773975278703,0.7556312625250501
topological_torsion_fingerprint,valid,0.7093680764332997,0.5582718820134659
avalon_fingerprint,train,0.9890819645376987,0.9850701402805612
avalon_fingerprint,valid,0.8521047619252672,0.770278935556268
ecfp_skfp_fingerprint,train,0.838958688212092,0.7118436873747495
ecfp_skfp_fingerprint,valid,0.7177757045379002,0.5613177300416801
layered_skfp_fingerprint,train,0.9872822604980342,0.9822845691382766
layered_skfp_fingerprint,valid,0.8548243701583408,0.7819814042962488
lingo_skfp_fingerprint,train,0.9122730054567822,0.8253306613226453
lingo_skfp_fingerprint,valid,0.7099810325076056,0.5650048092337288
mqns_skfp_fingerprint,train,0.9583607190036112,0.9410220440881764
mqns_skfp_fingerprint,valid,0.7927881412409271,0.6962968900288554
pattern_skfp_fingerprint,train,0.992431495939383,0.9901002004008016
pattern_skfp_fingerprint,valid,0.8372305225476692,0.7493587688361655
secfp_skfp_fingerprint,train,0.8435820817899241,0.7171743486973948
secfp_skfp_fingerprint,valid,0.7360173948356968,0.5752645078550818
morgan_fingerprint,train,0.8400983816493409,0.7133266533066133
morgan_fingerprint,valid,0.7196364338627093,0.5626803462648284
rdkit_fingerprint,train,0.9922227251355842,0.9902805611222445
rdkit_fingerprint,valid,0.7890708692349204,0.6773004168002565
atom_pair_fingerprint,train,0.9916452590813899,0.9835470941883767
atom_pair_fingerprint,valid,0.744797895254764,0.5830394357165758
topological_torsion_fingerprint,train,0.8609871441134564,0.7581763527054108
topological_torsion_fingerprint,valid,0.7063115153462836,0.5560275729400449
avalon_fingerprint,train,0.9890622899250255,0.9851903807615231
avalon_fingerprint,valid,0.8503933108724949,0.7677140109009298
ecfp_skfp_fingerprint,train,0.8423827204976915,0.7168937875751503
ecfp_skfp_fingerprint,valid,0.7141334432430896,0.5576306508496313
layered_skfp_fingerprint,train,0.9878220146435547,0.9828456913827656
layered_skfp_fingerprint,valid,0.8525776180102589,0.7793363257454312
lingo_skfp_fingerprint,train,0.9111111632732934,0.8231462925851704
lingo_skfp_fingerprint,valid,0.708257620932619,0.5614780378326387
mqns_skfp_fingerprint,train,0.9592778578504085,0.9427054108216433
mqns_skfp_fingerprint,valid,0.782851769157428,0.6891631933311959
pattern_skfp_fingerprint,train,0.9924967910200574,0.9897995991983968
pattern_skfp_fingerprint,valid,0.8346477423639277,0.7451106123757615
secfp_skfp_fingerprint,train,0.8465712317941351,0.7211422845691383
secfp_skfp_fingerprint,valid,0.7319799622591455,0.5719781981404296
