parameter,time
include_skfp_functional_groups_fingerprint,0.0034520626068115234
include_skfp_ghose_crippen_fingerprint,0.008556365966796875
include_skfp_klekota_roth_fingerprint,0.18682527542114258
include_skfp_laggner_fingerprint,0.023180246353149414
include_skfp_layered_fingerprint,0.008225202560424805
include_skfp_lingo_fingerprint,0.002415180206298828
include_skfp_maccs_fingerprint,0.005711793899536133
include_skfp_map_fingerprint,0.014305591583251953
include_skfp_mhfp_fingerprint,0.01069021224975586
include_skfp_mqns_fingerprint,0.002489328384399414
include_skfp_pattern_fingerprint,0.009358882904052734
include_skfp_pubchem_fingerprint,0.017078638076782227
include_skfp_rdkit_fingerprint,0.03510117530822754
include_skfp_secfp_fingerprint,0.012295961380004883
include_skfp_topological_torsion_fingerprint,0.002350330352783203
include_skfp_vsa_fingerprint,0.0030629634857177734
include_morgan_fingerprint,0.0014011859893798828
include_rdkit_fingerprint,0.004967451095581055
include_atom_pair_fingerprint,0.002003192901611328
include_topological_torsion_fingerprint,0.0012264251708984375
include_feature_morgan_fingerprint,0.0007703304290771484
include_avalon_fingerprint,0.0042378902435302734
include_maccs_fingerprint,0.0021474361419677734
include_map4_fingerprint,0.03138279914855957
include_descriptors,0.006476879119873047
include_skfp_autocorr_fingerprint,0.0011141300201416016
include_skfp_avalon_fingerprint,0.006134986877441406
include_skfp_ecfp_fingerprint,0.000957489013671875
include_skfp_erg_fingerprint,0.002215862274169922
include_skfp_estate_fingerprint,0.002351522445678711
include_skfp_functional_groups_fingerprint,0.0009548664093017578
include_skfp_ghose_crippen_fingerprint,0.0036401748657226562
include_skfp_klekota_roth_fingerprint,0.17641043663024902
include_skfp_laggner_fingerprint,0.018729448318481445
include_skfp_layered_fingerprint,0.0037047863006591797
include_skfp_lingo_fingerprint,0.0007822513580322266
include_skfp_maccs_fingerprint,0.002941131591796875
include_skfp_map_fingerprint,0.0033121109008789062
include_skfp_mhfp_fingerprint,0.007818222045898438
include_skfp_mqns_fingerprint,0.0005900859832763672
include_skfp_pattern_fingerprint,0.0020973682403564453
include_skfp_pubchem_fingerprint,0.011699914932250977
include_skfp_rdkit_fingerprint,0.010533809661865234
include_skfp_secfp_fingerprint,0.006509065628051758
include_skfp_topological_torsion_fingerprint,0.0004181861877441406
include_skfp_vsa_fingerprint,0.0007729530334472656
include_morgan_fingerprint,0.0007255077362060547
include_rdkit_fingerprint,0.025094270706176758
include_atom_pair_fingerprint,0.0016393661499023438
include_topological_torsion_fingerprint,0.004614591598510742
include_feature_morgan_fingerprint,0.0008122920989990234
include_avalon_fingerprint,0.0040302276611328125
include_maccs_fingerprint,0.003560781478881836
include_map4_fingerprint,0.04196977615356445
include_descriptors,0.008323192596435547
include_skfp_autocorr_fingerprint,0.0011534690856933594
include_skfp_avalon_fingerprint,0.006994485855102539
include_skfp_ecfp_fingerprint,0.0005481243133544922
include_skfp_erg_fingerprint,0.002577543258666992
include_skfp_estate_fingerprint,0.008641958236694336
include_skfp_functional_groups_fingerprint,0.0020558834075927734
include_skfp_ghose_crippen_fingerprint,0.002402782440185547
include_skfp_klekota_roth_fingerprint,0.19591188430786133
include_skfp_laggner_fingerprint,0.020009994506835938
include_skfp_layered_fingerprint,0.010152339935302734
include_skfp_lingo_fingerprint,0.0015344619750976562
include_skfp_maccs_fingerprint,0.004274845123291016
include_skfp_map_fingerprint,0.006570577621459961
include_skfp_mhfp_fingerprint,0.0077517032623291016
include_skfp_mqns_fingerprint,0.0010974407196044922
include_skfp_pattern_fingerprint,0.007662773132324219
include_skfp_pubchem_fingerprint,0.02081155776977539
include_skfp_rdkit_fingerprint,0.030138254165649414
include_skfp_secfp_fingerprint,0.008058786392211914
include_skfp_topological_torsion_fingerprint,0.0009112358093261719
include_skfp_vsa_fingerprint,0.001222848892211914
include_morgan_fingerprint,0.0009069442749023438
include_rdkit_fingerprint,0.01067662239074707
include_atom_pair_fingerprint,0.002686023712158203
include_topological_torsion_fingerprint,0.0005638599395751953
include_feature_morgan_fingerprint,0.0009577274322509766
include_avalon_fingerprint,0.01282954216003418
include_maccs_fingerprint,0.002123117446899414
include_map4_fingerprint,0.04874444007873535
include_descriptors,0.025383949279785156
include_skfp_autocorr_fingerprint,0.002470731735229492
include_skfp_avalon_fingerprint,0.01588749885559082
include_skfp_ecfp_fingerprint,0.0009756088256835938
include_skfp_erg_fingerprint,0.002530813217163086
include_skfp_estate_fingerprint,0.009476423263549805
include_skfp_functional_groups_fingerprint,0.001786947250366211
include_skfp_ghose_crippen_fingerprint,0.002597332000732422
include_skfp_klekota_roth_fingerprint,0.18080735206604004
include_skfp_laggner_fingerprint,0.0247342586517334
include_skfp_layered_fingerprint,0.0035271644592285156
include_skfp_lingo_fingerprint,0.0011429786682128906
include_skfp_maccs_fingerprint,0.004253864288330078
include_skfp_map_fingerprint,0.020410776138305664
include_skfp_mhfp_fingerprint,0.01304936408996582
include_skfp_mqns_fingerprint,0.0008349418640136719
include_skfp_pattern_fingerprint,0.00804281234741211
include_skfp_pubchem_fingerprint,0.010097026824951172
include_skfp_rdkit_fingerprint,0.011582136154174805
include_skfp_secfp_fingerprint,0.007161617279052734
include_skfp_topological_torsion_fingerprint,0.0011310577392578125
include_skfp_vsa_fingerprint,0.0012772083282470703
include_morgan_fingerprint,0.0005786418914794922
include_rdkit_fingerprint,0.018561601638793945
include_atom_pair_fingerprint,0.0007374286651611328
include_topological_torsion_fingerprint,0.0004639625549316406
include_feature_morgan_fingerprint,0.0007658004760742188
include_avalon_fingerprint,0.006535768508911133
include_maccs_fingerprint,0.0019369125366210938
include_map4_fingerprint,0.039261579513549805
include_descriptors,0.011247396469116211
include_skfp_autocorr_fingerprint,0.0008463859558105469
include_skfp_avalon_fingerprint,0.008836746215820312
include_skfp_ecfp_fingerprint,0.0006873607635498047
include_skfp_erg_fingerprint,0.0015914440155029297
include_skfp_estate_fingerprint,0.004450321197509766
include_skfp_functional_groups_fingerprint,0.0015087127685546875
include_skfp_ghose_crippen_fingerprint,0.0020589828491210938
include_skfp_klekota_roth_fingerprint,0.19069290161132812
include_skfp_laggner_fingerprint,0.019202232360839844
include_skfp_layered_fingerprint,0.0034945011138916016
include_skfp_lingo_fingerprint,0.0010128021240234375
include_skfp_maccs_fingerprint,0.002725362777709961
include_skfp_map_fingerprint,0.006489992141723633
include_skfp_mhfp_fingerprint,0.007416248321533203
include_skfp_mqns_fingerprint,0.0006229877471923828
include_skfp_pattern_fingerprint,0.004832267761230469
include_skfp_pubchem_fingerprint,0.012692451477050781
include_skfp_rdkit_fingerprint,0.019613981246948242
include_skfp_secfp_fingerprint,0.007402658462524414
include_skfp_topological_torsion_fingerprint,0.0006012916564941406
include_skfp_vsa_fingerprint,0.0009603500366210938
include_morgan_fingerprint,0.0005900859832763672
include_rdkit_fingerprint,0.015821456909179688
include_atom_pair_fingerprint,0.0012159347534179688
include_topological_torsion_fingerprint,0.0005252361297607422
include_feature_morgan_fingerprint,0.0009319782257080078
include_avalon_fingerprint,0.005412578582763672
include_maccs_fingerprint,0.00141143798828125
include_map4_fingerprint,0.042520999908447266
include_descriptors,0.012407064437866211
include_skfp_autocorr_fingerprint,0.0010819435119628906
include_skfp_avalon_fingerprint,0.010635137557983398
include_skfp_ecfp_fingerprint,0.0008287429809570312
include_skfp_erg_fingerprint,0.0016553401947021484
include_skfp_estate_fingerprint,0.006309986114501953
include_skfp_functional_groups_fingerprint,0.0016281604766845703
include_skfp_ghose_crippen_fingerprint,0.0020287036895751953
include_skfp_klekota_roth_fingerprint,0.1884312629699707
include_skfp_laggner_fingerprint,0.022214889526367188
include_skfp_layered_fingerprint,0.0048635005950927734
include_skfp_lingo_fingerprint,0.0009241104125976562
include_skfp_maccs_fingerprint,0.0034232139587402344
include_skfp_map_fingerprint,0.008558034896850586
include_skfp_mhfp_fingerprint,0.009892940521240234
include_skfp_mqns_fingerprint,0.0007593631744384766
include_skfp_pattern_fingerprint,0.004479408264160156
include_skfp_pubchem_fingerprint,0.010954856872558594
include_skfp_rdkit_fingerprint,0.016526460647583008
include_skfp_secfp_fingerprint,0.006829500198364258
include_skfp_topological_torsion_fingerprint,0.0007741451263427734
include_skfp_vsa_fingerprint,0.0010266304016113281
include_morgan_fingerprint,0.0005106925964355469
include_rdkit_fingerprint,0.01504373550415039
include_atom_pair_fingerprint,0.0009407997131347656
include_topological_torsion_fingerprint,0.0003790855407714844
include_feature_morgan_fingerprint,0.0006988048553466797
include_avalon_fingerprint,0.0035178661346435547
include_maccs_fingerprint,0.0013632774353027344
include_map4_fingerprint,0.03628373146057129
include_descriptors,0.008594751358032227
include_skfp_autocorr_fingerprint,0.0008549690246582031
include_skfp_avalon_fingerprint,0.006097316741943359
include_skfp_ecfp_fingerprint,0.0006690025329589844
include_skfp_erg_fingerprint,0.0009348392486572266
include_skfp_estate_fingerprint,0.003391265869140625
include_skfp_functional_groups_fingerprint,0.0013797283172607422
include_skfp_ghose_crippen_fingerprint,0.001991748809814453
include_skfp_klekota_roth_fingerprint,0.17834234237670898
include_skfp_laggner_fingerprint,0.01797795295715332
include_skfp_layered_fingerprint,0.004533290863037109
include_skfp_lingo_fingerprint,0.0008635520935058594
include_skfp_maccs_fingerprint,0.001970052719116211
include_skfp_map_fingerprint,0.006856203079223633
include_skfp_mhfp_fingerprint,0.006552696228027344
include_skfp_mqns_fingerprint,0.0007169246673583984
include_skfp_pattern_fingerprint,0.0036194324493408203
include_skfp_pubchem_fingerprint,0.011442184448242188
include_skfp_rdkit_fingerprint,0.015272855758666992
include_skfp_secfp_fingerprint,0.00587773323059082
include_skfp_topological_torsion_fingerprint,0.0009396076202392578
include_skfp_vsa_fingerprint,0.002938985824584961
include_morgan_fingerprint,0.0002906322479248047
include_rdkit_fingerprint,0.003950595855712891
include_atom_pair_fingerprint,0.0004467964172363281
include_topological_torsion_fingerprint,0.00023627281188964844
include_feature_morgan_fingerprint,0.0004096031188964844
include_avalon_fingerprint,0.0009274482727050781
include_maccs_fingerprint,0.0013415813446044922
include_map4_fingerprint,0.030863285064697266
include_descriptors,0.005123138427734375
include_skfp_autocorr_fingerprint,0.002190828323364258
include_skfp_avalon_fingerprint,0.0025131702423095703
include_skfp_ecfp_fingerprint,0.0006492137908935547
include_skfp_erg_fingerprint,0.0007293224334716797
include_skfp_estate_fingerprint,0.0019190311431884766
include_skfp_functional_groups_fingerprint,0.0012969970703125
include_skfp_ghose_crippen_fingerprint,0.0017321109771728516
include_skfp_klekota_roth_fingerprint,0.18002843856811523
include_skfp_laggner_fingerprint,0.017059803009033203
include_skfp_layered_fingerprint,0.0032300949096679688
include_skfp_lingo_fingerprint,0.0006923675537109375
include_skfp_maccs_fingerprint,0.003996133804321289
include_skfp_map_fingerprint,0.003054380416870117
include_skfp_mhfp_fingerprint,0.006886720657348633
include_skfp_mqns_fingerprint,0.000499725341796875
include_skfp_pattern_fingerprint,0.0041811466217041016
include_skfp_pubchem_fingerprint,0.009335041046142578
include_skfp_rdkit_fingerprint,0.0054302215576171875
include_skfp_secfp_fingerprint,0.005764484405517578
include_skfp_topological_torsion_fingerprint,0.0003743171691894531
include_skfp_vsa_fingerprint,0.0007121562957763672
include_morgan_fingerprint,0.0005278587341308594
include_rdkit_fingerprint,0.02966451644897461
include_atom_pair_fingerprint,0.0011508464813232422
include_topological_torsion_fingerprint,0.0005054473876953125
include_feature_morgan_fingerprint,0.0005083084106445312
include_avalon_fingerprint,0.002720355987548828
include_maccs_fingerprint,0.002407073974609375
include_map4_fingerprint,0.03723788261413574
include_descriptors,0.009528160095214844
include_skfp_autocorr_fingerprint,0.0008966922760009766
include_skfp_avalon_fingerprint,0.004852294921875
include_skfp_ecfp_fingerprint,0.0005080699920654297
include_skfp_erg_fingerprint,0.0008280277252197266
include_skfp_estate_fingerprint,0.004392147064208984
include_skfp_functional_groups_fingerprint,0.0013852119445800781
include_skfp_ghose_crippen_fingerprint,0.0017108917236328125
include_skfp_klekota_roth_fingerprint,0.18838858604431152
include_skfp_laggner_fingerprint,0.019739389419555664
include_skfp_layered_fingerprint,0.0076482295989990234
include_skfp_lingo_fingerprint,0.0008683204650878906
include_skfp_maccs_fingerprint,0.0025670528411865234
include_skfp_map_fingerprint,0.006441593170166016
include_skfp_mhfp_fingerprint,0.0074002742767333984
include_skfp_mqns_fingerprint,0.0006351470947265625
include_skfp_pattern_fingerprint,0.007048845291137695
include_skfp_pubchem_fingerprint,0.012667179107666016
include_skfp_rdkit_fingerprint,0.0267486572265625
include_skfp_secfp_fingerprint,0.010617971420288086
include_skfp_topological_torsion_fingerprint,0.0006432533264160156
include_skfp_vsa_fingerprint,0.0010547637939453125
include_morgan_fingerprint,0.0007078647613525391
include_rdkit_fingerprint,0.023168325424194336
include_atom_pair_fingerprint,0.002683877944946289
include_topological_torsion_fingerprint,0.0006709098815917969
include_feature_morgan_fingerprint,0.0009715557098388672
include_avalon_fingerprint,0.005054950714111328
include_maccs_fingerprint,0.0013327598571777344
include_map4_fingerprint,0.04958653450012207
include_descriptors,0.021001577377319336
include_skfp_autocorr_fingerprint,0.0017175674438476562
include_skfp_avalon_fingerprint,0.006356477737426758
include_skfp_ecfp_fingerprint,0.0009610652923583984
include_skfp_erg_fingerprint,0.0025854110717773438
include_skfp_estate_fingerprint,0.008143186569213867
include_skfp_functional_groups_fingerprint,0.001688241958618164
include_skfp_ghose_crippen_fingerprint,0.002205371856689453
include_skfp_klekota_roth_fingerprint,0.19691681861877441
include_skfp_laggner_fingerprint,0.01833486557006836
include_skfp_layered_fingerprint,0.007800102233886719
include_skfp_lingo_fingerprint,0.0010161399841308594
include_skfp_maccs_fingerprint,0.0023963451385498047
include_skfp_map_fingerprint,0.01209568977355957
include_skfp_mhfp_fingerprint,0.008679389953613281
include_skfp_mqns_fingerprint,0.000782012939453125
include_skfp_pattern_fingerprint,0.00726628303527832
include_skfp_pubchem_fingerprint,0.012802839279174805
include_skfp_rdkit_fingerprint,0.0258176326751709
include_skfp_secfp_fingerprint,0.007080793380737305
include_skfp_topological_torsion_fingerprint,0.004110574722290039
include_skfp_vsa_fingerprint,0.0011794567108154297
include_morgan_fingerprint,0.00024437904357910156
include_rdkit_fingerprint,0.0031371116638183594
include_atom_pair_fingerprint,0.0002865791320800781
include_topological_torsion_fingerprint,0.0001766681671142578
include_feature_morgan_fingerprint,0.0004165172576904297
include_avalon_fingerprint,0.0013048648834228516
include_maccs_fingerprint,0.0007352828979492188
include_map4_fingerprint,0.025600671768188477
include_descriptors,0.0026874542236328125
include_skfp_autocorr_fingerprint,0.00044274330139160156
include_skfp_avalon_fingerprint,0.002115011215209961
include_skfp_ecfp_fingerprint,0.0005509853363037109
include_skfp_erg_fingerprint,0.0011372566223144531
include_skfp_estate_fingerprint,0.0010445117950439453
include_skfp_functional_groups_fingerprint,0.0009016990661621094
include_skfp_ghose_crippen_fingerprint,0.0011839866638183594
include_skfp_klekota_roth_fingerprint,0.1724720001220703
include_skfp_laggner_fingerprint,0.013254642486572266
include_skfp_layered_fingerprint,0.0021331310272216797
include_skfp_lingo_fingerprint,0.0005965232849121094
include_skfp_maccs_fingerprint,0.0017464160919189453
include_skfp_map_fingerprint,0.0014328956604003906
include_skfp_mhfp_fingerprint,0.007023334503173828
include_skfp_mqns_fingerprint,0.0003829002380371094
include_skfp_pattern_fingerprint,0.003439188003540039
include_skfp_pubchem_fingerprint,0.010468482971191406
include_skfp_rdkit_fingerprint,0.003103971481323242
include_skfp_secfp_fingerprint,0.0039746761322021484
include_skfp_topological_torsion_fingerprint,0.00034332275390625
