feature_set,set,average_precision,accuracy
extended_connectivity_fingerprint,train,0.9125476704448677,0.8185370741482966
extended_connectivity_fingerprint,valid,0.7580296404047014,0.6073260660468098
smiles_extended_connectivity_fingerprint,train,0.7379994305853884,0.558937875751503
smiles_extended_connectivity_fingerprint,valid,0.6378360645455649,0.4383616543764027
morgan_fingerprint,train,0.9129038139083273,0.8188577154308617
morgan_fingerprint,valid,0.7599648393933967,0.6086886822699583
extended_connectivity_fingerprint,train,0.9137553724022198,0.8214629258517034
extended_connectivity_fingerprint,valid,0.7657739693911437,0.6190285347867907
smiles_extended_connectivity_fingerprint,train,0.7366905831560095,0.5578757515030061
smiles_extended_connectivity_fingerprint,valid,0.6383157447403229,0.44052580955434434
morgan_fingerprint,train,0.9105387574864718,0.8142084168336673
morgan_fingerprint,valid,0.7624475680004548,0.6111734530298173
extended_connectivity_fingerprint,train,0.9121052546418769,0.8179959919839679
extended_connectivity_fingerprint,valid,0.7631899508960053,0.6130169926258416
smiles_extended_connectivity_fingerprint,train,0.7384091777221589,0.5597795591182365
smiles_extended_connectivity_fingerprint,valid,0.6372755493724777,0.43699903815325425
morgan_fingerprint,train,0.9092561618939902,0.811062124248497
morgan_fingerprint,valid,0.7590182297656687,0.6074062199422892
extended_connectivity_fingerprint,train,0.9111351920118281,0.8153306613226453
extended_connectivity_fingerprint,valid,0.7602237295185512,0.608368066688041
smiles_extended_connectivity_fingerprint,train,0.7402548798545586,0.5596793587174349
smiles_extended_connectivity_fingerprint,valid,0.6364759638655958,0.436437960884899
morgan_fingerprint,train,0.9126444835068399,0.8169739478957916
morgan_fingerprint,valid,0.760919132886501,0.6090092978518756
extended_connectivity_fingerprint,train,0.9125166043621212,0.8170941883767535
extended_connectivity_fingerprint,valid,0.7626766218513787,0.6114940686117345
smiles_extended_connectivity_fingerprint,train,0.7402072962082397,0.5640280561122244
smiles_extended_connectivity_fingerprint,valid,0.6427990640282499,0.446457197819814
morgan_fingerprint,train,0.9140203105951789,0.8209619238476954
morgan_fingerprint,valid,0.7644772082240487,0.6149406861173453
extended_connectivity_fingerprint,train,0.9116207293141694,0.8154509018036072
extended_connectivity_fingerprint,valid,0.7578963995071583,0.6078871433151651
smiles_extended_connectivity_fingerprint,train,0.7414495307550532,0.5627254509018036
smiles_extended_connectivity_fingerprint,valid,0.6400846244372986,0.43860211606284066
morgan_fingerprint,train,0.9138253685833623,0.8193787575150301
morgan_fingerprint,valid,0.7586082717126846,0.6094100673292722
extended_connectivity_fingerprint,train,0.910159202086504,0.8150300601202405
extended_connectivity_fingerprint,valid,0.7655261272680214,0.6111734530298173
smiles_extended_connectivity_fingerprint,train,0.7385145820687428,0.5598797595190381
smiles_extended_connectivity_fingerprint,valid,0.6389679029123709,0.4368387303622956
morgan_fingerprint,train,0.9133695334077655,0.8195791583166333
morgan_fingerprint,valid,0.766349258369187,0.6134177621032382
extended_connectivity_fingerprint,train,0.9129375509541698,0.8185571142284569
extended_connectivity_fingerprint,valid,0.7613340836251621,0.608848990060917
smiles_extended_connectivity_fingerprint,train,0.7435479293741464,0.5686973947895791
smiles_extended_connectivity_fingerprint,valid,0.6410487813445118,0.44252965694132734
morgan_fingerprint,train,0.9106250544455399,0.8134869739478958
morgan_fingerprint,valid,0.761426204545089,0.6072459121513305
extended_connectivity_fingerprint,train,0.914048842394686,0.8210220440881764
extended_connectivity_fingerprint,valid,0.7620939164848207,0.6133376082077588
smiles_extended_connectivity_fingerprint,train,0.7376849312942758,0.5574749498997996
smiles_extended_connectivity_fingerprint,valid,0.6379450260960731,0.4353158063481885
morgan_fingerprint,train,0.9133249185494388,0.819619238476954
morgan_fingerprint,valid,0.7599712572067627,0.611093299134338
extended_connectivity_fingerprint,train,0.9126923405064832,0.8181763527054108
extended_connectivity_fingerprint,valid,0.7601237343366342,0.610371914075024
smiles_extended_connectivity_fingerprint,train,0.734896932761686,0.5535470941883768
smiles_extended_connectivity_fingerprint,valid,0.63484377859938,0.43547611413914716
morgan_fingerprint,train,0.9101482240659238,0.8138476953907816
morgan_fingerprint,valid,0.7624183128222953,0.6134177621032382
