feature_set,set,average_precision,accuracy
ecfp_skfp_fingerprint,train,0.8932403306023342,0.7903406813627255
ecfp_skfp_fingerprint,valid,0.7487361032609349,0.6006732927220263
secfp_skfp_fingerprint,train,0.9131939286023213,0.8206212424849699
secfp_skfp_fingerprint,valid,0.7709493929950902,0.6163033023404938
morgan_fingerprint,train,0.8916999502823442,0.7881763527054109
morgan_fingerprint,valid,0.7486993202399256,0.6015549855722988
ecfp_skfp_fingerprint,train,0.8956091020238149,0.795310621242485
ecfp_skfp_fingerprint,valid,0.7562050700327249,0.6130169926258416
secfp_skfp_fingerprint,train,0.9128992209257024,0.8208416833667335
secfp_skfp_fingerprint,valid,0.7749679288476499,0.6203911510099391
morgan_fingerprint,train,0.89637748082112,0.7964328657314629
morgan_fingerprint,valid,0.7559128467930187,0.6108528374479
ecfp_skfp_fingerprint,train,0.8941076090075045,0.7935070140280561
ecfp_skfp_fingerprint,valid,0.7556809972494926,0.6082879127925617
secfp_skfp_fingerprint,train,0.9105068151166151,0.815931863727455
secfp_skfp_fingerprint,valid,0.7732206428385601,0.6203109971144598
morgan_fingerprint,train,0.896826202898702,0.7976953907815632
morgan_fingerprint,valid,0.7559344890700839,0.6079672972106445
ecfp_skfp_fingerprint,train,0.8938935254752398,0.7921042084168337
ecfp_skfp_fingerprint,valid,0.7506931146727239,0.6019557550496955
secfp_skfp_fingerprint,train,0.9128864106813698,0.8197394789579159
secfp_skfp_fingerprint,valid,0.7705549620116627,0.6172651490862456
morgan_fingerprint,train,0.8949143573570137,0.7933867735470942
morgan_fingerprint,valid,0.7530044905558513,0.6069252965694133
ecfp_skfp_fingerprint,train,0.8929949207179323,0.7912224448897796
ecfp_skfp_fingerprint,valid,0.755600448175326,0.6085283744789997
secfp_skfp_fingerprint,train,0.9088308399427901,0.8134869739478958
secfp_skfp_fingerprint,valid,0.7724547662307987,0.6203109971144598
morgan_fingerprint,train,0.8939888308850156,0.7925851703406813
morgan_fingerprint,valid,0.7565241390378034,0.6112536069252966
ecfp_skfp_fingerprint,train,0.8957425841812644,0.7941683366733467
ecfp_skfp_fingerprint,valid,0.7539635907290632,0.6075665277332478
secfp_skfp_fingerprint,train,0.9111412649107441,0.8177755511022045
secfp_skfp_fingerprint,valid,0.7693685327568595,0.6134177621032382
morgan_fingerprint,train,0.8935209544981499,0.791002004008016
morgan_fingerprint,valid,0.7516242021143302,0.6046809874959923
ecfp_skfp_fingerprint,train,0.8935116237455347,0.7919438877755511
ecfp_skfp_fingerprint,valid,0.7575817612801046,0.6101314523885861
secfp_skfp_fingerprint,train,0.9107895498980736,0.8158917835671343
secfp_skfp_fingerprint,valid,0.7724611417437487,0.6156620711766592
morgan_fingerprint,train,0.8928874280191398,0.7914428857715431
morgan_fingerprint,valid,0.7551413104020746,0.6065245270920167
ecfp_skfp_fingerprint,train,0.8948965186236404,0.7937274549098197
ecfp_skfp_fingerprint,valid,0.7540135430314746,0.6047611413914716
secfp_skfp_fingerprint,train,0.912484344370352,0.8203807615230461
secfp_skfp_fingerprint,valid,0.7699145741929225,0.6145399166399487
morgan_fingerprint,train,0.8948707536336695,0.7944288577154308
morgan_fingerprint,valid,0.7550856899837313,0.6058832959281821
ecfp_skfp_fingerprint,train,0.8938610076542393,0.7919639278557115
ecfp_skfp_fingerprint,valid,0.7525638070123749,0.606364219301058
secfp_skfp_fingerprint,train,0.9133926797655302,0.8206613226452906
secfp_skfp_fingerprint,valid,0.7734383492055174,0.6204713049054184
morgan_fingerprint,train,0.8943010030929371,0.7931462925851703
morgan_fingerprint,valid,0.753932139057382,0.6082077588970825
ecfp_skfp_fingerprint,train,0.8928193364344384,0.7899799599198397
ecfp_skfp_fingerprint,valid,0.7533174378783785,0.604360371914075
secfp_skfp_fingerprint,train,0.9121651994711057,0.8204809619238477
secfp_skfp_fingerprint,valid,0.7729970864133359,0.6230362295607567
morgan_fingerprint,train,0.894506718268619,0.7937274549098197
morgan_fingerprint,valid,0.7540863235936136,0.6065245270920167
